WORD,FREQUENCY_RANKING
要る,1
から,2
板,3
だ,4
その,5
来る,6
言う,7
こと,8
私,9
という,10
ある,11
この,12
思う,13
には,14
のだ,15
鋳る,16
ので,17
田,18
鳴る,19
立つ,20
自分,21
って,22
である,23
酔う,24
あの,25
ひと,26
ない,27
彼,28
でも,29
尾,30
もの,31
さん,32
まで,33
だけ,34
男,35
中,36
ながら,37
知る,38
顔,39
です,40
僕,41
では,42
し,43
分かる,44
して,45
んだ,46
彼女,47
とは,48
殊,49
渡す,50
反る,51
じゃ,52
わ,53
として,54
担う,55
しかし,56
出る,57
女,58
入る,59
考える,60
そして,61
また,62
だが,63
あった,64
声,65
舌,66
擦る,67
そんな,68
など,69
それは,70
今,71
陽に,72
のか,73
目,74
暮れる,75
出す,76
あなた,77
聞く,78
手,79
そう,80
出合う,81
家,82
いい,83
溶く,84
これ,85
流,86
何,87
とする,88
だから,89
さ,90
だろう,91
診る,92
方,93
君,94
二人,95
のに,96
のです,97
見える,98
鳴く,99
ほど,100
だと,101
のように,102
ところ,103
話,104
もう,105
より,106
持つ,107
まだ,108
なら,109
ことは,110
ではある,111
言葉,112
時,113
何か,114
んです,115
俺,116
人間,117
年,118
者,119
嫌,120
しまった,121
て,122
けど,123
ここ,124
みて,125
湧く,126
ー,127
体,128
感じる,129
部屋,130
折れる,131
それが,132
前,133
ゆく,134
ただ,135
前に,136
二,137
よく,138
それに,139
死ぬ,140
上,141
笑う,142
にする,143
ねえ,144
一つ,145
とか,146
ん,147
まま,148
皆,149
頭,150
ばかり,151
なり,152
とも,153
同じ,154
ぞ,155
なんて,156
増す,157
これは,158
かもしれない,159
歩く,160
気,161
捕る,162
姿,163
待つ,164
だって,165
みた,166
こんな,167
なかった,168
答える,169
少し,170
ちょっと,171
殊に,172
多い,173
違う,174
動く,175
書く,176
眼,177
心,178
買う,179
ああ,180
五,181
砲,182
あ,183
始める,184
どう,185
殺す,186
みたい,187
通る,188
使う,189
音,190
話す,191
壮,192
先生,193
しまう,194
折る,195
たい,196
様,197
無くなる,198
柄,199
一,200
照る,201
似寄る,202
帰る,203
溜める,204
相手,205
続ける,206
間,207
跡,208
夜,209
着る,210
陽,211
彼ら,212
似付く,213
然う言う,214
事,215
呼ぶ,216
日,217
それから,218
娘,219
ください,220
過ぎる,221
になる,222
見せる,223
全て,224
くらい,225
御前,226
みる,227
悪い,228
どこ,229
