word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
が,4,12,9,7,1906,10,4,3,7,8,8,8,10,8,7,19996,8,8,7,8,11,11,-1,26,19854,5,6,5,3087,7,9,10,8925,7,4,7
を,5,38,5,8,-1,5,5,4,6,6,7,6,8,7,12,-1,7,7,12,7,8,8,-1,57,-1,7,3,2,-1,6,2,9,-1,5,5,8
で,6,11,7,16,3,19,12,9,13,12,13,12,17,12,11,14633,12,12,11,14,12,12,1209,22,-1,13,11,11,7727,13,11,17,7453,11,13,13
それ,17,8967,83,44,515,66,124,21518,48,37,25,8431,35,7966,8732,7,35,32,32,33,33,40,-1,8420,3087,49,155,110,8,48,47,33,8,147,35,34
って,21,19,4021,31,-1,121,106,12,40,38,46,42,104,32,26,-1,32,29,23,37,66,64,-1,13087,22,23,421,744,-1,40,46,67,-1,3172,37,24
んだ,22,6453,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10575,10941,-1,-1,46,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
です,23,20,1121,14,-1,31,14,17,18,17,21,17,27,23,18,57,23,21,18,21,21055,22192,-1,4412,40,22,841,717,-1,18,17,27,-1,968,9,12
だった,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,213,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
には,26,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,14,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
この,27,80,30,34,-1,55,46,34,38,41,32,46,37,30,45,13,30,27,41,47,54,63,-1,139,12,24,156,119,19,38,30,44,23,34,28,29
でも,29,-1,-1,57,-1,303,-1,28,49,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,49,3266,3203,-1,519,29,67,1009,675,-1,50,-1,-1,-1,395,75,-1
